,group,regulation_dir,count,cell_type
10,Canertinib,Down,144,Treg
11,Canertinib,Up,146,Treg
12,Canertinib dihydrochloride,Down,149,Treg
13,Canertinib dihydrochloride,Up,132,Treg
14,Erlotinib,Down,136,Treg
15,Erlotinib,Up,119,Treg
16,Erlotinib hydrochloride,Down,116,Treg
17,Erlotinib hydrochloride,Up,100,Treg
18,Gefitinib,Down,126,Treg
19,Gefitinib,Up,111,Treg
20,Gefitinib hydrochloride,Down,128,Treg
21,Gefitinib hydrochloride,Up,111,Treg
22,NVP-BSK805,Down,60,Treg
23,NVP-BSK805,Up,85,Treg
24,NVP-BSK805 2HCl,Down,39,Treg
25,NVP-BSK805 2HCl,Up,57,Treg
26,Ruxolitinib,Down,44,Treg
27,Ruxolitinib,Up,44,Treg
28,Ruxolitinib phosphate,Down,34,Treg
29,Ruxolitinib phosphate,Up,43,Treg
30,Tofacitinib citrate,Down,13,Treg
31,Tofacitinib citrate,Up,11,Treg
32,Tofacitinib,Down,16,Treg
33,Tofacitinib,Up,19,Treg
0,IL-6 control,Down,35,CD8 Central Memory
1,IL-6 control,Up,29,CD8 Central Memory
2,Afatinib,Down,117,CD8 Central Memory
3,Afatinib,Up,112,CD8 Central Memory
4,Afatinib dimaleate,Down,113,CD8 Central Memory
5,Afatinib dimaleate,Up,111,CD8 Central Memory
6,Baricitinib,Down,79,CD8 Central Memory
7,Baricitinib,Up,71,CD8 Central Memory
8,Baricitinib phosphate,Down,40,CD8 Central Memory
9,Baricitinib phosphate,Up,40,CD8 Central Memory
10,Canertinib,Down,197,CD8 Central Memory
11,Canertinib,Up,173,CD8 Central Memory
12,Canertinib dihydrochloride,Down,161,CD8 Central Memory
13,Canertinib dihydrochloride,Up,152,CD8 Central Memory
14,Erlotinib,Down,69,CD8 Central Memory
15,Erlotinib,Up,44,CD8 Central Memory
16,Erlotinib hydrochloride,Down,47,CD8 Central Memory
17,Erlotinib hydrochloride,Up,41,CD8 Central Memory
18,Gefitinib,Down,40,CD8 Central Memory
19,Gefitinib,Up,30,CD8 Central Memory
20,Gefitinib hydrochloride,Down,31,CD8 Central Memory
21,Gefitinib hydrochloride,Up,27,CD8 Central Memory
22,NVP-BSK805,Down,72,CD8 Central Memory
23,NVP-BSK805,Up,113,CD8 Central Memory
24,NVP-BSK805 2HCl,Down,48,CD8 Central Memory
25,NVP-BSK805 2HCl,Up,104,CD8 Central Memory
26,Ruxolitinib,Down,63,CD8 Central Memory
27,Ruxolitinib,Up,72,CD8 Central Memory
28,Ruxolitinib phosphate,Down,61,CD8 Central Memory
29,Ruxolitinib phosphate,Up,84,CD8 Central Memory
30,Tofacitinib citrate,Down,7,CD8 Central Memory
31,Tofacitinib citrate,Up,4,CD8 Central Memory
32,Tofacitinib,Down,7,CD8 Central Memory
33,Tofacitinib,Up,5,CD8 Central Memory
0,IL-6 control,Down,7,CD4 Effector Memory
1,IL-6 control,Up,0,CD4 Effector Memory
2,Afatinib,Down,109,CD4 Effector Memory
3,Afatinib,Up,86,CD4 Effector Memory
4,Afatinib dimaleate,Down,93,CD4 Effector Memory
5,Afatinib dimaleate,Up,112,CD4 Effector Memory
6,Baricitinib,Down,110,CD4 Effector Memory
7,Baricitinib,Up,75,CD4 Effector Memory
8,Baricitinib phosphate,Down,91,CD4 Effector Memory
9,Baricitinib phosphate,Up,74,CD4 Effector Memory
10,Canertinib,Down,244,CD4 Effector Memory
11,Canertinib,Up,199,CD4 Effector Memory
12,Canertinib dihydrochloride,Down,216,CD4 Effector Memory
13,Canertinib dihydrochloride,Up,194,CD4 Effector Memory
14,Erlotinib,Down,52,CD4 Effector Memory
15,Erlotinib,Up,27,CD4 Effector Memory
16,Erlotinib hydrochloride,Down,44,CD4 Effector Memory
17,Erlotinib hydrochloride,Up,64,CD4 Effector Memory
18,Gefitinib,Down,33,CD4 Effector Memory
19,Gefitinib,Up,13,CD4 Effector Memory
20,Gefitinib hydrochloride,Down,25,CD4 Effector Memory
21,Gefitinib hydrochloride,Up,9,CD4 Effector Memory
22,NVP-BSK805,Down,97,CD4 Effector Memory
23,NVP-BSK805,Up,116,CD4 Effector Memory
24,NVP-BSK805 2HCl,Down,76,CD4 Effector Memory
25,NVP-BSK805 2HCl,Up,100,CD4 Effector Memory
26,Ruxolitinib,Down,79,CD4 Effector Memory
27,Ruxolitinib,Up,86,CD4 Effector Memory
28,Ruxolitinib phosphate,Down,251,CD4 Effector Memory
29,Ruxolitinib phosphate,Up,225,CD4 Effector Memory
30,Tofacitinib citrate,Down,7,CD4 Effector Memory
31,Tofacitinib citrate,Up,12,CD4 Effector Memory
32,Tofacitinib,Down,4,CD4 Effector Memory
33,Tofacitinib,Up,1,CD4 Effector Memory
0,IL-6 control,Down,0,MAIT
1,IL-6 control,Up,0,MAIT
2,Afatinib,Down,37,MAIT
3,Afatinib,Up,35,MAIT
4,Afatinib dimaleate,Down,41,MAIT
5,Afatinib dimaleate,Up,44,MAIT
6,Baricitinib,Down,2,MAIT
7,Baricitinib,Up,2,MAIT
8,Baricitinib phosphate,Down,1,MAIT
9,Baricitinib phosphate,Up,1,MAIT
10,Canertinib,Down,109,MAIT
11,Canertinib,Up,72,MAIT
12,Canertinib dihydrochloride,Down,81,MAIT
