,group,names,scores,logfoldchanges,pvals,pvals_adj,cell_type,abs_logfoldchanges
17644,Ruxolitinib phosphate,JPT2,-1.1726975,-0.24835342,0.24091712544018395,0.3704523870114706,CD4 Effector Memory,0.24835342
17645,Ruxolitinib phosphate,PRUNE1,-1.1727141,-0.2708246,0.24091045633723596,0.3704523870114706,CD4 Effector Memory,0.2708246
17646,Ruxolitinib phosphate,NFKBIB,-1.177286,-0.47901842,0.23908138489578667,0.36857104662551493,CD4 Effector Memory,0.47901842
17647,Ruxolitinib phosphate,ATF6,-1.19027,-0.2565991,0.23394030882473205,0.3615714144094703,CD4 Effector Memory,0.2565991
17648,Ruxolitinib phosphate,MSH3,-1.1942184,-0.46580824,0.23239257096879318,0.35966609937550476,CD4 Effector Memory,0.46580824
17649,Ruxolitinib phosphate,HSPA4,-1.1952907,-0.37929192,0.23197349553090285,0.35966609937550476,CD4 Effector Memory,0.37929192
17650,Ruxolitinib phosphate,MTA1,-1.201874,-0.30398682,0.22941232410906776,0.35640314609976464,CD4 Effector Memory,0.30398682
17651,Ruxolitinib phosphate,RPA2,-1.2039273,-0.24248755,0.2286177064246917,0.3556275433272982,CD4 Effector Memory,0.24248755
17652,Ruxolitinib phosphate,TMED10,-1.2045755,-0.2895138,0.22836718216301244,0.3556275433272982,CD4 Effector Memory,0.2895138
17653,Ruxolitinib phosphate,APPBP2,-1.2085905,-0.25233802,0.2268202123958909,0.35374551259670034,CD4 Effector Memory,0.25233802
