,,group,reference,name,stat,meanchange,pval,padj,cell_type
CD4 Central Memory,87,Erlotinib hydrochloride,DMSO control,Hypoxia,-7.611531978146796,-0.1783144745143117,2.7086586250741468e-14,9.480305187759513e-14,CD4 Central Memory
CD4 Central Memory,88,Erlotinib hydrochloride,DMSO control,TNFa,-5.144694254950544,-0.08668382742508074,2.6795685566208807e-07,7.502791958538465e-07,CD4 Central Memory
CD4 Central Memory,89,Erlotinib hydrochloride,DMSO control,VEGF,3.9388029527791084,0.0715313733906231,8.188914783900576e-05,0.00019107467829101345,CD4 Central Memory
CD4 Central Memory,90,Erlotinib hydrochloride,DMSO control,Trail,3.809282646544616,0.059689719830558596,0.0001393705633685888,0.0002787411267371776,CD4 Central Memory
CD4 Central Memory,91,Erlotinib hydrochloride,DMSO control,p53,-3.151298471135465,-0.05267243014458689,0.001625462919951241,0.002844560109914672,CD4 Central Memory
CD4 Central Memory,92,Erlotinib hydrochloride,DMSO control,NFkB,-2.959255507571549,-0.054846297270268796,0.003083832971660887,0.004797073511472491,CD4 Central Memory
CD4 Central Memory,93,Erlotinib hydrochloride,DMSO control,MAPK,-2.0933418719294465,-0.04892660650888492,0.03631864736013117,0.05084610630418364,CD4 Central Memory
CD4 Central Memory,94,Erlotinib hydrochloride,DMSO control,EGFR,1.9424312165935762,0.005645424663809351,0.05208491929554715,0.06628989728524183,CD4 Central Memory
CD4 Central Memory,95,Erlotinib hydrochloride,DMSO control,WNT,-1.5236571903670257,-0.017205512265385803,0.12759436872264027,0.14886009684308033,CD4 Central Memory
CD4 Central Memory,96,Erlotinib hydrochloride,DMSO control,PI3K,-0.40664065908047486,-0.005925539225246856,0.684271930048111,0.7369082323595042,CD4 Central Memory
CD4 Central Memory,97,Erlotinib hydrochloride,DMSO control,TGFb,-0.013234137632544175,-0.008235571667436797,0.9894409941299555,0.9894409941299555,CD4 Central Memory
CD4 Central Memory,98,Erlotinib,DMSO control,JAK-STAT,26.895727527906818,0.48880140256924104,2.4640681559614165e-159,3.449695418345983e-158,CD4 Central Memory
CD4 Central Memory,99,Erlotinib,DMSO control,Androgen,10.299111051994355,0.174697203182816,7.111541841009592e-25,4.978079288706714e-24,CD4 Central Memory
CD4 Central Memory,100,Erlotinib,DMSO control,Estrogen,7.454219734539616,0.1027068482129434,9.040122495788786e-14,4.2187238313681004e-13,CD4 Central Memory
CD4 Central Memory,101,Erlotinib,DMSO control,Hypoxia,-7.20210689016709,-0.1796102872914287,5.928918317650556e-13,2.0751214111776946e-12,CD4 Central Memory
CD4 Central Memory,102,Erlotinib,DMSO control,VEGF,6.96662908338593,0.11622097205189075,3.2462504598655155e-12,9.089501287623443e-12,CD4 Central Memory
CD4 Central Memory,103,Erlotinib,DMSO control,TNFa,-6.422729800215655,-0.10397726725032674,1.338519620553721e-10,3.123212447958683e-10,CD4 Central Memory
CD4 Central Memory,104,Erlotinib,DMSO control,NFkB,-3.945355797889248,-0.07010047521114449,7.968157342390004e-05,0.00015936314684780007,CD4 Central Memory
CD4 Central Memory,105,Erlotinib,DMSO control,Trail,3.2724923420594214,0.04858023711472542,0.001066037603928842,0.0018655658068754736,CD4 Central Memory
CD4 Central Memory,106,Erlotinib,DMSO control,WNT,-2.9747845590218325,-0.03134875543985971,0.002931943826242301,0.004560801507488024,CD4 Central Memory
CD4 Central Memory,107,Erlotinib,DMSO control,TGFb,-2.3833204758951867,-0.03243440791277205,0.017157250637158755,0.024020150892022255,CD4 Central Memory
CD4 Central Memory,108,Erlotinib,DMSO control,MAPK,-1.9694379181341457,-0.04168583348900867,0.048902825076942893,0.06223995918883641,CD4 Central Memory
CD4 Central Memory,109,Erlotinib,DMSO control,EGFR,1.8179585249241013,0.012559346015412753,0.06907047213409566,0.08058221748977827,CD4 Central Memory
CD4 Central Memory,110,Erlotinib,DMSO control,p53,-1.4397627975419958,-0.02042920748753474,0.14993451983356468,0.16146794443614657,CD4 Central Memory
CD4 Central Memory,111,Erlotinib,DMSO control,PI3K,-0.06705760646587265,-0.0036111812275844146,0.9465358430296181,0.9465358430296181,CD4 Central Memory
CD4 Central Memory,112,Canertinib dihydrochloride,DMSO control,JAK-STAT,29.786291243337274,0.47586349609656514,5.87999874652714e-195,8.231998245137996e-194,CD4 Central Memory
CD4 Central Memory,113,Canertinib dihydrochloride,DMSO control,TGFb,-22.32643529814902,-0.2706847485294965,2.0461187851377312e-110,1.4322831495964118e-109,CD4 Central Memory
CD4 Central Memory,114,Canertinib dihydrochloride,DMSO control,MAPK,-19.144843716984315,-0.31541832914762247,1.0685871136601643e-81,4.986739863747434e-81,CD4 Central Memory
CD4 Central Memory,115,Canertinib dihydrochloride,DMSO control,PI3K,-18.55008277422784,-0.3063128624596526,8.14265116675196e-77,2.849927908363186e-76,CD4 Central Memory
CD4 Central Memory,116,Canertinib dihydrochloride,DMSO control,Trail,14.558639246603665,0.23074371182976372,5.1472189795901496e-48,1.4412213142852418e-47,CD4 Central Memory
CD4 Central Memory,117,Canertinib dihydrochloride,DMSO control,Androgen,12.37767805396624,0.19815105902671504,3.4518534342936087e-35,8.05432468001842e-35,CD4 Central Memory
CD4 Central Memory,118,Canertinib dihydrochloride,DMSO control,Hypoxia,-10.615520175176332,-0.23672569702100033,2.5238473638800556e-26,5.047694727760111e-26,CD4 Central Memory
CD4 Central Memory,119,Canertinib dihydrochloride,DMSO control,VEGF,-10.325288322666946,-0.16923658639843353,5.415585481441089e-25,9.477274592521904e-25,CD4 Central Memory
CD4 Central Memory,120,Canertinib dihydrochloride,DMSO control,EGFR,-10.227867006929204,-0.20124646953780911,1.4875969679417798e-24,2.3140397279094355e-24,CD4 Central Memory
CD4 Central Memory,121,Canertinib dihydrochloride,DMSO control,TNFa,9.819079016979169,0.14580527411098654,9.319102194848056e-23,1.3046743072787278e-22,CD4 Central Memory
CD4 Central Memory,122,Canertinib dihydrochloride,DMSO control,NFkB,9.351401751938369,0.15361031103487588,8.649370552575086e-21,1.1008289794186473e-20,CD4 Central Memory
CD4 Central Memory,123,Canertinib dihydrochloride,DMSO control,p53,6.430234511683412,0.09862932735793573,1.2740722638802313e-10,1.4864176411936033e-10,CD4 Central Memory
CD4 Central Memory,124,Canertinib dihydrochloride,DMSO control,Estrogen,3.4124598303552616,0.04260396282203249,0.0006437941451524306,0.0006933167717026175,CD4 Central Memory
CD4 Central Memory,125,Canertinib dihydrochloride,DMSO control,WNT,-3.1988825298500245,-0.03270944461788039,0.0013796137076222152,0.0013796137076222152,CD4 Central Memory
CD4 Central Memory,126,Afatinib dimaleate,DMSO control,JAK-STAT,40.494398382460496,0.8022069468962401,0.0,0.0,CD4 Central Memory
CD4 Central Memory,127,Afatinib dimaleate,DMSO control,NFkB,31.21290103279549,0.603252811354674,7.120427655377299e-214,4.984299358764109e-213,CD4 Central Memory
CD4 Central Memory,128,Afatinib dimaleate,DMSO control,TNFa,27.60239045326137,0.4594283640307615,1.0415699973991105e-167,4.860659987862516e-167,CD4 Central Memory
CD4 Central Memory,129,Afatinib dimaleate,DMSO control,EGFR,23.94129876009457,0.4613677592207086,1.1384812813973926e-126,3.984684484890874e-126,CD4 Central Memory
CD4 Central Memory,130,Afatinib dimaleate,DMSO control,PI3K,16.6342677875415,0.2814557193471873,3.9353709836795865e-62,1.1019038754302842e-61,CD4 Central Memory
CD4 Central Memory,131,Afatinib dimaleate,DMSO control,p53,15.969337126248368,0.26154894980807697,2.0899514170008704e-57,4.8765533063353645e-57,CD4 Central Memory
CD4 Central Memory,132,Afatinib dimaleate,DMSO control,Estrogen,10.646713391059647,0.15425634424125478,1.8063014688395084e-26,3.612602937679017e-26,CD4 Central Memory
CD4 Central Memory,133,Afatinib dimaleate,DMSO control,WNT,9.239796701323955,0.0902574559062852,2.469660204689615e-20,4.3219053582068264e-20,CD4 Central Memory
CD4 Central Memory,134,Afatinib dimaleate,DMSO control,Androgen,8.58359032311893,0.13606481541613502,9.195704054961881e-18,1.4304428529940706e-17,CD4 Central Memory
CD4 Central Memory,135,Afatinib dimaleate,DMSO control,Trail,7.82136636914598,0.12744271401947432,5.2253021831096585e-15,7.315423056353522e-15,CD4 Central Memory
CD4 Central Memory,136,Afatinib dimaleate,DMSO control,MAPK,6.9045823145342125,0.11730199822365006,5.035135466087575e-12,6.190542696910283e-12,CD4 Central Memory
CD4 Central Memory,137,Afatinib dimaleate,DMSO control,Hypoxia,6.897134889460884,0.1459948110206466,5.306179454494528e-12,6.190542696910283e-12,CD4 Central Memory
CD4 Central Memory,138,Afatinib dimaleate,DMSO control,VEGF,-6.080110162321427,-0.08923714230526025,1.2010000544922915e-09,1.2933846740686215e-09,CD4 Central Memory
CD4 Central Memory,139,Afatinib dimaleate,DMSO control,TGFb,-0.809130675764822,-0.017436842930663055,0.41843998512384095,0.41843998512384095,CD4 Central Memory
CD4 Central Memory,140,IL-6 control,DMSO control,JAK-STAT,26.380058172577712,0.478312853063145,2.3208954523247544e-153,3.2492536332546562e-152,CD4 Central Memory
CD4 Central Memory,141,IL-6 control,DMSO control,Androgen,15.094955065708456,0.2505524574598661,1.7480694751183785e-51,1.223648632582865e-50,CD4 Central Memory
CD4 Central Memory,142,IL-6 control,DMSO control,VEGF,13.537049858313722,0.24360256436388772,9.450884184372443e-42,4.4104126193738075e-41,CD4 Central Memory
CD4 Central Memory,143,IL-6 control,DMSO control,Estrogen,12.227461425361014,0.17821490001978768,2.217611758168707e-34,7.761641153590473e-34,CD4 Central Memory
CD4 Central Memory,144,IL-6 control,DMSO control,TNFa,-9.284397408275513,-0.14699783278457268,1.6262476691691932e-20,4.5534934736737406e-20,CD4 Central Memory
CD4 Central Memory,145,IL-6 control,DMSO control,EGFR,7.466889796632582,0.13354344118880346,8.211248028607483e-14,1.915957873341746e-13,CD4 Central Memory
CD4 Central Memory,146,IL-6 control,DMSO control,PI3K,6.979330837782269,0.11903901947294637,2.9658930560727547e-12,5.931786112145509e-12,CD4 Central Memory
CD4 Central Memory,147,IL-6 control,DMSO control,MAPK,6.2846364060578015,0.10076506394110374,3.286218860146392e-10,5.750883005256186e-10,CD4 Central Memory
CD4 Central Memory,148,IL-6 control,DMSO control,Trail,5.563074823550244,0.08597761504577134,2.650621698026915e-08,4.123189308041868e-08,CD4 Central Memory
CD4 Central Memory,149,IL-6 control,DMSO control,TGFb,5.38417811422123,0.0567488844839692,7.277641169598556e-08,1.0188697637437977e-07,CD4 Central Memory
CD4 Central Memory,150,IL-6 control,DMSO control,WNT,-4.423023214438302,-0.04586374535701454,9.732927883245518e-06,1.2387362760494297e-05,CD4 Central Memory
CD4 Central Memory,151,IL-6 control,DMSO control,p53,-3.485010165176728,-0.05060851065153171,0.0004921183456613026,0.0005741380699381864,CD4 Central Memory
CD4 Central Memory,152,IL-6 control,DMSO control,NFkB,-2.6764938200060757,-0.027881931776295055,0.007439693780626106,0.008011977917597345,CD4 Central Memory
CD4 Central Memory,153,IL-6 control,DMSO control,Hypoxia,-2.606173976921156,-0.06011382421597711,0.009155994213165987,0.009155994213165987,CD4 Central Memory
CD4 Central Memory,154,NVP-BSK805,DMSO control,EGFR,24.483878194829,0.47674279784453444,2.1937645880591936e-132,3.0712704232828714e-131,CD4 Central Memory
CD4 Central Memory,155,NVP-BSK805,DMSO control,JAK-STAT,-24.08141633475682,-0.426344077039785,3.914300922331966e-128,2.7400106456323764e-127,CD4 Central Memory
CD4 Central Memory,156,NVP-BSK805,DMSO control,MAPK,21.361378703661796,0.3538331338493612,3.056556024981105e-101,1.426392811657849e-100,CD4 Central Memory
CD4 Central Memory,157,NVP-BSK805,DMSO control,Hypoxia,20.713971105615556,0.4404532974133839,2.5918382960316484e-95,9.071434036110769e-95,CD4 Central Memory
CD4 Central Memory,158,NVP-BSK805,DMSO control,NFkB,17.959314038514425,0.33174847239713223,4.0579152626833744e-72,1.1362162735513447e-71,CD4 Central Memory
CD4 Central Memory,159,NVP-BSK805,DMSO control,TGFb,13.756815545947038,0.16464135183462858,4.634972739955684e-43,1.0814936393229931e-42,CD4 Central Memory
CD4 Central Memory,160,NVP-BSK805,DMSO control,Estrogen,10.599357565089736,0.15156531213828606,3.000341512182354e-26,6.000683024364708e-26,CD4 Central Memory
CD4 Central Memory,161,NVP-BSK805,DMSO control,PI3K,10.555804578228217,0.16981382630800973,4.775307365794731e-26,8.356787890140779e-26,CD4 Central Memory
CD4 Central Memory,162,NVP-BSK805,DMSO control,TNFa,10.507777110173448,0.17083144645844905,7.95463745738352e-26,1.2373880489263254e-25,CD4 Central Memory
CD4 Central Memory,163,NVP-BSK805,DMSO control,Androgen,6.614819219557087,0.10700720015056797,3.7200607735814714e-11,5.2080850830140597e-11,CD4 Central Memory
CD4 Central Memory,164,NVP-BSK805,DMSO control,p53,3.7568689339109493,0.06254514120497046,0.00017205254863072024,0.00021897597098455304,CD4 Central Memory
CD4 Central Memory,165,NVP-BSK805,DMSO control,WNT,2.0238268512624686,0.018617609448676076,0.042987970418063536,0.05015263215440746,CD4 Central Memory
CD4 Central Memory,166,NVP-BSK805,DMSO control,Trail,1.5013040268189108,0.02257980492510342,0.13327694394575146,0.1435290165569631,CD4 Central Memory
CD4 Central Memory,167,NVP-BSK805,DMSO control,VEGF,-1.1635603229724225,-0.029167840493076636,0.24460223858114538,0.24460223858114538,CD4 Central Memory
CD4 Central Memory,168,Baricitinib phosphate,DMSO control,JAK-STAT,-23.34422257890273,-0.37394241754568414,1.5775605448921063e-120,2.2085847628489488e-119,CD4 Central Memory
CD4 Central Memory,169,Baricitinib phosphate,DMSO control,EGFR,14.667266582698911,0.294245312484275,1.0446948138639854e-48,7.312863697047898e-48,CD4 Central Memory
CD4 Central Memory,170,Baricitinib phosphate,DMSO control,MAPK,13.982263393703471,0.2449959986686021,2.0002399128316363e-44,9.334452926547636e-44,CD4 Central Memory
CD4 Central Memory,171,Baricitinib phosphate,DMSO control,PI3K,11.522895293103831,0.19187514748023005,1.0115389684599757e-30,3.5403863896099145e-30,CD4 Central Memory
CD4 Central Memory,172,Baricitinib phosphate,DMSO control,Trail,-6.211589436822228,-0.09623809199450276,5.245132336118016e-10,1.4686370541130444e-09,CD4 Central Memory
CD4 Central Memory,173,Baricitinib phosphate,DMSO control,TGFb,5.943811195474851,0.06611148943866245,2.7847032795737144e-09,6.497640985672e-09,CD4 Central Memory
CD4 Central Memory,174,Baricitinib phosphate,DMSO control,Estrogen,4.77281815695663,0.07510714978651434,1.8166580436521536e-06,3.633316087304307e-06,CD4 Central Memory
CD4 Central Memory,175,Baricitinib phosphate,DMSO control,Hypoxia,3.6314840164621036,0.073155456682934,0.0002817961129839839,0.0004931431977219717,CD4 Central Memory
CD4 Central Memory,176,Baricitinib phosphate,DMSO control,NFkB,2.608972169758545,0.05094275318938846,0.009081462780933825,0.014126719881452617,CD4 Central Memory
CD4 Central Memory,177,Baricitinib phosphate,DMSO control,p53,1.287337534084008,0.022189596169860604,0.19797666645270307,0.27716733303378427,CD4 Central Memory
CD4 Central Memory,178,Baricitinib phosphate,DMSO control,WNT,-1.0894710764593891,-0.008161228205660231,0.27594620285972726,0.3512042581851074,CD4 Central Memory
CD4 Central Memory,179,Baricitinib phosphate,DMSO control,Androgen,0.7410483710252846,0.011457938424893399,0.4586641120660334,0.5351081307437057,CD4 Central Memory
CD4 Central Memory,180,Baricitinib phosphate,DMSO control,TNFa,-0.4465504497856986,-0.0015302637585259404,0.6551996788817331,0.705599654180328,CD4 Central Memory
CD4 Central Memory,181,Baricitinib phosphate,DMSO control,VEGF,-0.32460757050123007,-0.0064529209866175385,0.7454780968365787,0.7454780968365787,CD4 Central Memory
CD4 Central Memory,182,Tofacitinib citrate,DMSO control,JAK-STAT,-18.088136716842797,-0.29500662263799915,3.952252989437446e-73,5.533154185212425e-72,CD4 Central Memory
CD4 Central Memory,183,Tofacitinib citrate,DMSO control,MAPK,6.302743422514671,0.1013470589331158,2.9242275828821616e-10,2.046959308017513e-09,CD4 Central Memory
CD4 Central Memory,184,Tofacitinib citrate,DMSO control,Trail,5.4587729013762845,0.08863404179072831,4.794365175167729e-08,2.2373704150782736e-07,CD4 Central Memory
CD4 Central Memory,185,Tofacitinib citrate,DMSO control,Hypoxia,5.250305459645063,0.1200949510646292,1.5184719620401743e-07,5.31465186714061e-07,CD4 Central Memory
CD4 Central Memory,186,Tofacitinib citrate,DMSO control,EGFR,5.201550104231865,0.09607033115147634,1.9763317476602923e-07,5.533728893448818e-07,CD4 Central Memory
CD4 Central Memory,187,Tofacitinib citrate,DMSO control,TNFa,-4.5352467614405425,-0.07368899199953072,5.753617608072965e-06,1.3425107752170252e-05,CD4 Central Memory
CD4 Central Memory,188,Tofacitinib citrate,DMSO control,Estrogen,2.885115884319891,0.04074548698278857,0.003912696073413448,0.007825392146826897,CD4 Central Memory
CD4 Central Memory,189,Tofacitinib citrate,DMSO control,TGFb,2.2874392092235314,0.025765712988950945,0.022170199904212262,0.03879784983237146,CD4 Central Memory
CD4 Central Memory,190,Tofacitinib citrate,DMSO control,p53,-1.8867813718061093,-0.03135303427742464,0.05918973765656378,0.0858501047455854,CD4 Central Memory
CD4 Central Memory,191,Tofacitinib citrate,DMSO control,WNT,1.8711701311031377,0.020334632155510235,0.06132150338970386,0.0858501047455854,CD4 Central Memory
CD4 Central Memory,192,Tofacitinib citrate,DMSO control,Androgen,1.5880783605469635,0.02639734530611748,0.11226862087633309,0.14288733566078757,CD4 Central Memory
CD4 Central Memory,193,Tofacitinib citrate,DMSO control,VEGF,1.4512418301272625,0.028372390231119038,0.14671253274650997,0.17116462153759499,CD4 Central Memory
CD4 Central Memory,194,Tofacitinib citrate,DMSO control,NFkB,-1.3204733305078495,-0.025770434470132608,0.1866770345622173,0.1912641085782566,CD4 Central Memory
CD4 Central Memory,195,Tofacitinib citrate,DMSO control,PI3K,1.3068486797278984,0.024932045046173856,0.1912641085782566,0.1912641085782566,CD4 Central Memory
CD4 Central Memory,196,Canertinib,DMSO control,JAK-STAT,28.88390709682935,0.4618346334114016,1.90171558173863e-183,2.662401814434082e-182,CD4 Central Memory
CD4 Central Memory,197,Canertinib,DMSO control,TGFb,-24.317121091341075,-0.2989966154658697,1.2920329951962267e-130,9.044230966373587e-130,CD4 Central Memory
CD4 Central Memory,198,Canertinib,DMSO control,MAPK,-21.123321639827456,-0.3543661012069277,4.855770683806055e-99,2.2660263191094923e-98,CD4 Central Memory
CD4 Central Memory,199,Canertinib,DMSO control,PI3K,-18.490533707623452,-0.30876342209135454,2.4610661736638127e-76,8.613731607823345e-76,CD4 Central Memory
CD4 Central Memory,200,Canertinib,DMSO control,Trail,15.057052400633307,0.23549123482923373,3.1031731897439553e-51,8.688884931283075e-51,CD4 Central Memory
CD4 Central Memory,201,Canertinib,DMSO control,VEGF,-12.238880942815017,-0.19713204094377046,1.926707351549764e-34,4.495650486949449e-34,CD4 Central Memory
CD4 Central Memory,202,Canertinib,DMSO control,EGFR,-12.107977364693605,-0.2402539560001975,9.582809377422572e-34,1.9165618754845145e-33,CD4 Central Memory
CD4 Central Memory,203,Canertinib,DMSO control,Hypoxia,-11.682388497490988,-0.2624540051496571,1.5682588700412002e-31,2.7444530225721e-31,CD4 Central Memory
CD4 Central Memory,204,Canertinib,DMSO control,Androgen,11.438294401929245,0.1828036548695664,2.6912418019103122e-30,4.1863761363049305e-30,CD4 Central Memory
CD4 Central Memory,205,Canertinib,DMSO control,TNFa,9.52232989102716,0.14595167914742024,1.6933910392464934e-21,2.3707474549450907e-21,CD4 Central Memory
CD4 Central Memory,206,Canertinib,DMSO control,p53,8.91676863526392,0.1425560936853687,4.800912615990651e-19,6.110252420351738e-19,CD4 Central Memory
CD4 Central Memory,207,Canertinib,DMSO control,NFkB,8.315795895521504,0.13839315319480106,9.113855318391658e-17,1.0632831204790268e-16,CD4 Central Memory
CD4 Central Memory,208,Canertinib,DMSO control,WNT,-2.9826262223504005,-0.028164944705184825,0.0028578677838053124,0.003077703767174952,CD4 Central Memory
CD4 Central Memory,209,Canertinib,DMSO control,Estrogen,2.013829705334566,0.022702646717464692,0.04402741580761793,0.04402741580761793,CD4 Central Memory
CD4 Central Memory,210,Afatinib,DMSO control,JAK-STAT,37.93036201356237,0.7164630469811186,0.0,0.0,CD4 Central Memory
CD4 Central Memory,211,Afatinib,DMSO control,NFkB,27.766313418475523,0.5164473965926664,1.1072644425187391e-169,7.750851097631173e-169,CD4 Central Memory
CD4 Central Memory,212,Afatinib,DMSO control,TNFa,24.22174859968913,0.38540942660462374,1.3128296322481575e-129,6.126538283824736e-129,CD4 Central Memory
CD4 Central Memory,213,Afatinib,DMSO control,EGFR,20.99125537299434,0.38883912990363045,7.883595049444107e-98,2.759258267305437e-97,CD4 Central Memory
CD4 Central Memory,214,Afatinib,DMSO control,PI3K,17.02555505563121,0.2762189277770948,5.308669256133655e-65,1.4864273917174233e-64,CD4 Central Memory
CD4 Central Memory,215,Afatinib,DMSO control,p53,16.89801949868098,0.2663138573125039,4.6527327286356776e-64,1.0856376366816582e-63,CD4 Central Memory
CD4 Central Memory,216,Afatinib,DMSO control,Androgen,10.861363867980886,0.17046812784657162,1.7609923621653204e-27,3.521984724330641e-27,CD4 Central Memory
CD4 Central Memory,217,Afatinib,DMSO control,Estrogen,9.42491670116748,0.126507705863538,4.304470948271485e-21,7.532824159475098e-21,CD4 Central Memory
CD4 Central Memory,218,Afatinib,DMSO control,Trail,7.6408829993178395,0.1166028215627164,2.1573704057286305e-14,3.3559095200223143e-14,CD4 Central Memory
CD4 Central Memory,219,Afatinib,DMSO control,Hypoxia,7.3377176340612165,0.15158168878980804,2.1726693054538097e-13,3.0417370276353335e-13,CD4 Central Memory
CD4 Central Memory,220,Afatinib,DMSO control,WNT,5.235934121366388,0.051502398198889354,1.641525005315645e-07,2.089213643129003e-07,CD4 Central Memory
CD4 Central Memory,221,Afatinib,DMSO control,MAPK,5.13731059674178,0.08075352219371101,2.7869812433247726e-07,3.251478117212235e-07,CD4 Central Memory
CD4 Central Memory,222,Afatinib,DMSO control,VEGF,-4.822730424124188,-0.07556951320293814,1.4160629510627336e-06,1.5249908703752516e-06,CD4 Central Memory
CD4 Central Memory,223,Afatinib,DMSO control,TGFb,0.614483430460076,0.003021124762645183,0.5388959190789698,0.5388959190789698,CD4 Central Memory
CD4 Central Memory,224,Baricitinib,DMSO control,JAK-STAT,-27.16418031291996,-0.43818993303139875,1.7218474638816702e-162,2.4105864494343384e-161,CD4 Central Memory
CD4 Central Memory,225,Baricitinib,DMSO control,PI3K,15.465987690647516,0.2582531286918405,5.886343084177382e-54,4.120440158924167e-53,CD4 Central Memory
CD4 Central Memory,226,Baricitinib,DMSO control,MAPK,14.847695283829275,0.24863249785800967,7.200174453544533e-50,3.3600814116541157e-49,CD4 Central Memory
CD4 Central Memory,227,Baricitinib,DMSO control,EGFR,14.544622027783268,0.28176604663690585,6.317883987317277e-48,2.211259395561047e-47,CD4 Central Memory
CD4 Central Memory,228,Baricitinib,DMSO control,Trail,-9.658954308949147,-0.15476263582339575,4.5043814736372555e-22,1.2612268126184314e-21,CD4 Central Memory
CD4 Central Memory,229,Baricitinib,DMSO control,TGFb,6.8086351622174535,0.07672421590564668,9.852899341961394e-12,2.299009846457659e-11,CD4 Central Memory
CD4 Central Memory,230,Baricitinib,DMSO control,Estrogen,6.1354123407852175,0.0898484709213685,8.493859167002885e-10,1.698771833400577e-09,CD4 Central Memory
CD4 Central Memory,231,Baricitinib,DMSO control,Hypoxia,2.5278182529156497,0.05863504898903793,0.01147737491979804,0.02008540610964657,CD4 Central Memory
CD4 Central Memory,232,Baricitinib,DMSO control,NFkB,2.3093132907657297,0.03727628216957313,0.020926202666663937,0.03255187081481057,CD4 Central Memory
CD4 Central Memory,233,Baricitinib,DMSO control,WNT,-1.5958183483114785,-0.017525256108839926,0.11052935554208326,0.15474109775891656,CD4 Central Memory
CD4 Central Memory,234,Baricitinib,DMSO control,VEGF,-1.1270163075469666,-0.027046335457463933,0.2597355862161038,0.3305725642750412,CD4 Central Memory
CD4 Central Memory,235,Baricitinib,DMSO control,Androgen,0.6985179903059254,0.012228550145303663,0.4848533110595099,0.5528666106463213,CD4 Central Memory
CD4 Central Memory,236,Baricitinib,DMSO control,p53,0.6535897674027359,0.011257402609690992,0.5133761384572983,0.5528666106463213,CD4 Central Memory
CD4 Central Memory,237,Baricitinib,DMSO control,TNFa,-0.4342947427164175,-0.009556908309824586,0.6640744210453902,0.6640744210453902,CD4 Central Memory
CD8 Central Memory,0,Tofacitinib,DMSO control,JAK-STAT,-7.874570805173469,-0.24056371566956034,3.4191453236366058e-15,4.786803453091248e-14,CD8 Central Memory
CD8 Central Memory,1,Tofacitinib,DMSO control,EGFR,3.3353406679550304,0.13435940042291117,0.0008519495991789214,0.00596364719425245,CD8 Central Memory
CD8 Central Memory,2,Tofacitinib,DMSO control,MAPK,2.210621918681547,0.0786662649015124,0.027062029619648043,0.10327485837791721,CD8 Central Memory
CD8 Central Memory,3,Tofacitinib,DMSO control,TGFb,2.0609113468208116,0.05159394427788366,0.03931149858060075,0.10327485837791721,CD8 Central Memory
CD8 Central Memory,4,Tofacitinib,DMSO control,NFkB,1.9936372288329087,0.0670823786575998,0.046191713782046645,0.10327485837791721,CD8 Central Memory
CD8 Central Memory,5,Tofacitinib,DMSO control,Trail,1.9540751955085387,0.06599934914899641,0.05069232504019574,0.10327485837791721,CD8 Central Memory
CD8 Central Memory,6,Tofacitinib,DMSO control,Hypoxia,1.946144127507191,0.06865208116184807,0.051637429188958604,0.10327485837791721,CD8 Central Memory
CD8 Central Memory,7,Tofacitinib,DMSO control,Estrogen,1.5171200019754605,0.043986219711674934,0.12923638907296534,0.22616368087768934,CD8 Central Memory
CD8 Central Memory,8,Tofacitinib,DMSO control,WNT,0.8662592391119146,0.01792836018006494,0.386348013721975,0.5608930418252828,CD8 Central Memory
CD8 Central Memory,9,Tofacitinib,DMSO control,TNFa,0.7991717344887493,0.02372386963101647,0.4241908391793552,0.5608930418252828,CD8 Central Memory
CD8 Central Memory,10,Tofacitinib,DMSO control,p53,0.7235933217700234,0.018332775817353042,0.46931544254523194,0.5608930418252828,CD8 Central Memory
CD8 Central Memory,11,Tofacitinib,DMSO control,VEGF,-0.7050719453198172,-0.01939538987923317,0.4807654644216709,0.5608930418252828,CD8 Central Memory
CD8 Central Memory,12,Tofacitinib,DMSO control,PI3K,0.42473201814276557,0.017407775179915652,0.6710320402794676,0.7226498895317344,CD8 Central Memory
CD8 Central Memory,13,Tofacitinib,DMSO control,Androgen,-0.2399847870525468,-0.003586293993634304,0.8103420502083334,0.8103420502083334,CD8 Central Memory
CD8 Central Memory,14,Ruxolitinib,DMSO control,JAK-STAT,-12.784476027817893,-0.4139937426044451,2.00207539701309e-37,2.8029055558183258e-36,CD8 Central Memory
CD8 Central Memory,15,Ruxolitinib,DMSO control,EGFR,7.160266205568444,0.283219287438369,8.052054460694902e-13,5.6364381224864315e-12,CD8 Central Memory
CD8 Central Memory,16,Ruxolitinib,DMSO control,MAPK,6.675495592163152,0.21736099180130197,2.4639807067605662e-11,1.149857663154931e-10,CD8 Central Memory
CD8 Central Memory,17,Ruxolitinib,DMSO control,PI3K,5.082565385087428,0.16866158925438374,3.7237106568419456e-07,1.1571475599476727e-06,CD8 Central Memory
CD8 Central Memory,18,Ruxolitinib,DMSO control,Trail,-5.062742912312281,-0.16919591528319533,4.1326698569559745e-07,1.1571475599476727e-06,CD8 Central Memory
CD8 Central Memory,19,Ruxolitinib,DMSO control,VEGF,-3.9025261705127243,-0.1407282914135881,9.519394184665473e-05,0.00022211919764219436,CD8 Central Memory
CD8 Central Memory,20,Ruxolitinib,DMSO control,Estrogen,3.135887404515037,0.09139767876727811,0.001713349700748758,0.003426699401497516,CD8 Central Memory
