,,group,reference,name,stat,meanchange,pval,padj,cell_type
CD4 Naive,40,NVP-BSK805 2HCl,DMSO control,Trail,4.9569025656523555,0.057868490067607414,7.162587278781607e-07,7.713555530995577e-07,CD4 Naive
CD4 Naive,41,NVP-BSK805 2HCl,DMSO control,TNFa,3.1181044895231533,0.04714894190962382,0.0018201825998472548,0.0018201825998472548,CD4 Naive
CD4 Naive,42,Gefitinib,DMSO control,JAK-STAT,43.00674915992281,0.6858833042178534,0.0,0.0,CD4 Naive
CD4 Naive,43,Gefitinib,DMSO control,EGFR,42.6371506562455,0.6503253588077222,0.0,0.0,CD4 Naive
CD4 Naive,44,Gefitinib,DMSO control,Estrogen,40.35970397852694,0.5381013184640333,0.0,0.0,CD4 Naive
CD4 Naive,45,Gefitinib,DMSO control,MAPK,37.08611723167081,0.5110261850231903,4.703502867565024e-301,1.6462260036477586e-300,CD4 Naive
CD4 Naive,46,Gefitinib,DMSO control,Androgen,28.293035721078304,0.4006977768764931,4.209689206682767e-176,1.1787129778711747e-175,CD4 Naive
CD4 Naive,47,Gefitinib,DMSO control,VEGF,27.96059625931087,0.3887798682446464,4.900326171851377e-172,1.1434094400986546e-171,CD4 Naive
CD4 Naive,48,Gefitinib,DMSO control,PI3K,26.80420986762479,0.41316546057079817,2.886007393066765e-158,5.77201478613353e-158,CD4 Naive
CD4 Naive,49,Gefitinib,DMSO control,Hypoxia,-25.132618760474163,-0.46000882887628114,2.189186903314007e-139,3.8310770807995125e-139,CD4 Naive
CD4 Naive,50,Gefitinib,DMSO control,TGFb,14.570758438427948,0.14029372244602623,4.310783863717281e-48,6.70566378800466e-48,CD4 Naive
CD4 Naive,51,Gefitinib,DMSO control,WNT,-10.155411383073623,-0.08631018383627054,3.1348528559573134e-24,4.388793998340239e-24,CD4 Naive
CD4 Naive,52,Gefitinib,DMSO control,NFkB,8.139139418443964,0.12171578487334511,3.9809734945311654e-16,5.066693538494211e-16,CD4 Naive
CD4 Naive,53,Gefitinib,DMSO control,p53,-6.230430886568121,-0.0838001151761858,4.6515400680734073e-10,5.426796746085642e-10,CD4 Naive
CD4 Naive,54,Gefitinib,DMSO control,TNFa,-4.105398469588706,-0.06894667110294739,4.036185320721164e-05,4.346661114622792e-05,CD4 Naive
CD4 Naive,55,Gefitinib,DMSO control,Trail,-0.5696200105729056,0.007535579560727923,0.5689354533065275,0.5689354533065275,CD4 Naive
CD4 Naive,56,Ruxolitinib phosphate,DMSO control,JAK-STAT,-53.04416313007367,-0.8043421723553912,0.0,0.0,CD4 Naive
CD4 Naive,57,Ruxolitinib phosphate,DMSO control,MAPK,26.688868077225997,0.36954089344859353,6.338125456289655e-157,4.4366878194027586e-156,CD4 Naive
CD4 Naive,58,Ruxolitinib phosphate,DMSO control,EGFR,23.16793886349506,0.3570180148218163,9.588028515924307e-119,4.4744133074313435e-118,CD4 Naive
CD4 Naive,59,Ruxolitinib phosphate,DMSO control,PI3K,19.882465785595155,0.3092974902289787,5.772596060458115e-88,2.0204086211603406e-87,CD4 Naive
CD4 Naive,60,Ruxolitinib phosphate,DMSO control,Trail,-12.922190802639037,-0.13816428066484954,3.373959719280387e-38,9.447087213985083e-38,CD4 Naive
CD4 Naive,61,Ruxolitinib phosphate,DMSO control,TGFb,9.150749884992702,0.092059478591897,5.653969376158455e-20,1.3192595211036395e-19,CD4 Naive
CD4 Naive,62,Ruxolitinib phosphate,DMSO control,TNFa,-9.015939447680127,-0.1314848170111067,1.951902298596578e-19,3.903804597193156e-19,CD4 Naive
