,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type,drug,comparison,gene_set
14,prerank,PI3K/AKT/mTOR  Signaling,0.4559645474123909,1.2607306071032303,0.16955445544554457,0.3979376497508308,0.98,12/39,21.19%,CDK1;TNFRSF1A;STAT2;MYD88;TIAM1;DUSP3;CDK2;RALB;CDK4;LCK;IRAK4;HRAS,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
15,prerank,Adipogenesis,0.5025629533642176,1.2603057781308578,0.1883289124668435,0.37047455540150265,0.98,11/23,28.49%,BCL6;IFNGR1;STAT5A;REEP5;DHRS7;HADH;SLC5A6;SQOR;PGM1;SDHB;ACLY,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
16,prerank,Xenobiotic Metabolism,0.49889068445459894,1.2486961177779052,0.18096514745308312,0.3699940436564942,0.989,9/26,19.76%,TNFRSF1A;IRF8;FAS;IL1R1;CNDP2;CBR1;PSMB10;HPRT1;DHRS7,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
17,prerank,Apical Junction,0.4471017709283542,1.2122309722278566,0.20324189526184538,0.4175046424442031,0.993,11/37,18.17%,CD274;ITGA2;ICAM1;RAC2;MAPK11;MPZL1;RASA1;INSIG1;AKT2;ITGA3;SORBS3,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
18,prerank,Allograft Rejection,0.3778423894548859,1.1538662805148545,0.24404086265607264,0.5179916611190918,0.999,22/83,14.92%,IL2RB;SOCS1;IL2RA;IL18RAP;STAT1;HIF1A;IFNGR1;IRF8;FAS;ACVR2A;DYRK3;IRF7;CCR5;ICAM1;ITK;TLR2;CD7;JAK2;CCR2;TAP2;CCND2;PSMB10,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
19,prerank,DNA Repair,0.42574837672693877,1.095465982805942,0.35257214554579674,0.6195843017257824,1.0,11/29,27.22%,RFC2;DDB2;POLR1C;POLA1;HPRT1;CANT1;POLR2I;PNP;RALA;RNMT;RPA2,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
20,prerank,Apoptosis,-0.27845005837167536,-1.0777487208017147,0.2868217054263566,0.437055905617375,0.882,18/61,16.90%,TXNIP;SMAD7;TNF;FEZ1;FASLG;BIRC3;JUN;PMAIP1;SQSTM1;ISG20;CDKN1B;EGR3;BNIP3L;IRF1;IER3;BCL10;CDKN1A;WEE1,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
21,prerank,UV Response Dn,0.4181513601550883,1.0757656407818974,0.37777777777777777,0.6335336607170848,1.0,4/27,5.16%,MYC;INPP4B;RUNX1;ACVR2A,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
22,prerank,Estrogen Response Late,0.41784283244113796,1.0673713735660408,0.3914209115281501,0.6204687992712239,1.0,6/27,16.75%,BATF;ZFP36;TIAM1;JAK2;IL6ST;HPRT1,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
23,prerank,Cholesterol Homeostasis,0.428863712652328,1.0434304009657345,0.418732782369146,0.6387602796978782,1.0,4/20,15.32%,PLSCR1;NFIL3;CXCL16;NSDHL,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
24,prerank,Mitotic Spindle,0.4010248738720543,1.035482520971872,0.41613316261203587,0.6260849623030346,1.0,5/29,12.70%,CDK1;NCK2;TIAM1;RASA1;ECT2,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
25,prerank,Myogenesis,0.4380970883811193,1.0067077500263375,0.4815340909090909,0.6544848524548209,1.0,5/16,21.43%,NOTCH1;AGL;AKT2;SORBS3;GAA,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
26,prerank,G2-M Checkpoint,0.3544275788647535,1.0036361305256072,0.47936893203883496,0.6333345012438246,1.0,5/51,5.24%,CDK1;MYC;HIF1A;NOLC1;TACC3,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
27,prerank,Oxidative Phosphorylation,0.35670197788839614,0.8972785589887213,0.6268260292164675,0.8051518867593989,1.0,14/24,43.65%,SUPV3L1;TOMM70;TIMM9;VDAC1;BAX;ACAA1;SDHB;CYCS;PDHX;CASP7;SLC25A4;GPI;ETFB;ATP6V0B,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
28,prerank,Complement,0.28179050838779335,0.8208331458796749,0.7390300230946882,0.9073909867855421,1.0,12/59,20.00%,F5;PLSCR1;CASP10;IRF7;FCER1G;JAK2;PIM1;PSMB9;LAMP2;DPP4;LCK;GZMA,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
29,prerank,p53 Pathway,0.28703177879829905,0.8109697764113416,0.7570422535211268,0.8893975787917836,1.0,4/51,4.76%,NOTCH1;SOCS1;DDIT4;FAS,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
30,prerank,Hypoxia,0.28631765473702914,0.7962974832180295,0.7719950433705081,0.8812585403454679,1.0,8/43,13.65%,DDIT4;GLRX;HK1;NFIL3;ZFP36;ERO1A;MIF;PIM1,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
31,prerank,Estrogen Response Early,0.2968865838652599,0.7587517089995415,0.832010582010582,0.9014013717712812,1.0,7/26,19.05%,MYC;MUC1;TIAM1;JAK2;IL6ST;SH3BP5;CANT1,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
32,prerank,Pperoxisome,0.30195464391688087,0.7267119042782105,0.8193103448275862,0.9123529892669027,1.0,6/18,31.27%,MVP;SMARCC1;ITGB1BP1;HRAS;ACAA1;ABCC5,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
33,prerank,UV Response Up,0.2661624656646967,0.7060042544146395,0.869727047146402,0.9068289986900565,1.0,6/34,15.16%,ICAM1;RAB27A;JUNB;TFRC;CDK2;IL6ST,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
34,prerank,heme Metabolism,-0.22041802058062598,-0.6824916450164379,0.8830188679245283,0.9312240246681861,1.0,5/22,14.44%,KLF3;NR3C1;BNIP3L;CCND3;TRAK2,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
35,prerank,Fatty Acid Metabolism,0.24308516413660658,0.5952921839980937,0.9610738255033557,0.9617042149889632,1.0,8/22,28.25%,UBE2L6;MIF;CBR1;NSDHL;HADH;ACAA1;HMGCS1;PCBD1,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,Hallmark
0,prerank,Interferon Gamma Response,0.6323458037482838,2.0303254090289236,0.0,0.0,0.0,37/76,16.11%,IL2RB;MTHFD2;STAT3;PLSCR1;ICAM1;CD274;NAMPT;MX1;IRF8;IFITM2;SOCS1;FAS;IFI35;STAT1;IFIH1;PTPN1;IRF7;CASP8;CD69;OAS3;IFIT1;UBE2L6;ISG15;STAT2;IL15RA;TNFSF10;MVP;NFKBIA;LAP3;MYD88;IRF1;IFIT2;STAT4;HIF1A;HERC6;PSME2;IL15,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
