,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type,comparison,gene_set
17,prerank,Cholesterol Homeostasis,-0.4040822607858331,-1.0860336240152086,0.364367816091954,0.7552794113450054,1.0,10/22,34.70%,CLU;PLAUR;FDFT1;LGALS3;ATF5;CXCL16;PLSCR1;HMGCS1;TRIB3;ECH1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
18,prerank,Estrogen Response Early,0.262592136526637,1.051048789847225,0.40476190476190477,0.37318473488686255,0.663,4/31,3.59%,MINDY1;PEX11A;EGR3;IGF1R,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
19,prerank,Mitotic Spindle,-0.3612066449172115,-1.03777656126556,0.44733984799131377,0.8730271982647907,1.0,15/31,36.28%,TOP2A;PCM1;NCK2;NCK1;CDK1;CEP57;TIAM1;KIF20B;SMC1A;ECT2;ARHGEF2;SMC3;HDAC6;KIF23;RASA1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
20,prerank,E2F Targets,-0.3036492163473531,-0.9727298648163323,0.5651282051282052,1.0,1.0,30/70,40.09%,CDCA8;TOP2A;CHEK1;TIMELESS;HELLS;CHEK2;ZW10;TMPO;ATAD2;CCP110;TIPIN;MSH2;CDK1;PSIP1;NUP107;DNMT1;CDKN1B;CDK4;ANP32E;TFRC;MCM6;SMC1A;UBE2T;MCM3;SMC3;CDKN1A;ILF3;HMGB2;RPA1;MTHFD2,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
21,prerank,Complement,-0.3004450062295383,-0.9550912696038649,0.5696594427244582,1.0,1.0,19/63,29.09%,ITGAM;FCER1G;CLU;DUSP6;PLAUR;CSRP1;DOCK9;PIK3CG;LGALS3;PSEN1;GZMK;PIK3CA;CD46;CR1;CBLB;PRCP;RAF1;CEBPB;PLSCR1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
22,prerank,Androgen Response,-0.3657795218725426,-0.9486236282457701,0.5647058823529412,0.9970441100324944,1.0,2/18,8.75%,MAP7;APPBP2,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
23,prerank,p53 Pathway,-0.30609901853625104,-0.9451743974113749,0.5843881856540084,0.9611575672821713,1.0,20/53,37.92%,RAD9A;DDB2;RB1;TNFSF9;ADA;IER3;HRAS;CCP110;ABHD4;FOS;ABCC5;ELP1;FAS;RALGDS;S100A4;TRIB3;IRAK1;FOXO3;CD81;CDKN1A,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
24,prerank,Unfolded Protein Response,-0.30572548515346887,-0.8728191824948486,0.6853303471444568,1.0,1.0,14/29,41.59%,FKBP14;VEGFA;POP4;HERPUD1;EIF4G1;CEBPB;CNOT4;CNOT2;DDX10;ERO1A;ATF6;TATDN2;MTHFD2;EIF4EBP1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
25,prerank,UV Response Dn,-0.3057002058280065,-0.868132133783315,0.7039106145251397,1.0,1.0,15/28,44.73%,COL1A1;TENT4A;ACVR2A;AKT3;ID1;PRKCE;CDKN1B;MAP2K5;MAPK14;ATP2C1;RUNX1;RXRA;PIK3CD;SMAD7;INSIG1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
26,prerank,G2-M Checkpoint,-0.2791009617567005,-0.8619424974654398,0.7382198952879581,1.0,1.0,20/55,38.44%,MNAT1;TOP2A;CHEK1;CCNF;TENT4A;TMPO;SMARCC1;CDK1;ATF5;CDKN1B;CDK4;KIF20B;MCM6;SMC1A;MCM3;MAPK14;KIF23;MTF2;ILF3;HIF1A,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
27,prerank,heme Metabolism,-0.3208330522880989,-0.8569489362947375,0.6941309255079007,0.9960505546566794,1.0,11/22,37.02%,HEBP1;XPO7;BNIP3L;TRAK2;CAT;SLC25A37;TFRC;ABCB6;FOXO3;PSMD9;BLVRA,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
28,prerank,Oxidative Phosphorylation,-0.3075480508313232,-0.8268929194673245,0.746119733924612,1.0,1.0,6/24,22.74%,ETFB;OXA1L;DECR1;TIMM9;VDAC1;ACAA1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
29,prerank,Xenobiotic Metabolism,-0.28666205252329513,-0.7936836309567032,0.7809734513274337,1.0,1.0,2/27,3.81%,BPHL;IL1R1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
30,prerank,Interferon Gamma Response,-0.22474568087340027,-0.7212269489851304,0.9282786885245902,1.0,1.0,30/79,40.24%,IRF5;CD38;PSME2;TNFSF10;IL15;IFITM3;STAT2;ST3GAL5;FAS;IFITM2;MYD88;STAT4;IL4R;PTPN6;PLSCR1;MVP;IFI35;ARID5B;NOD1;NAMPT;NCOA3;JAK2;CD69;NLRC5;CDKN1A;HIF1A;PTPN1;PSME1;MTHFD2;CASP8,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
31,prerank,Inflammatory Response,-0.22893201803316054,-0.7160980446409391,0.9079627714581179,1.0,1.0,11/61,15.78%,IL18R1;NOD2;IL1R1;PLAUR;OSM;TNFSF9;TNFSF10;IL15;ACVR2A;PSEN1;C3AR1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
32,prerank,mTORC1 Signaling,-0.2307278766354803,-0.7015435073977319,0.9162303664921466,1.0,1.0,19/52,41.74%,NFKBIB;SLC37A4;CCNF;PGM1;TBK1;PSMG1;ACLY;CFP;HMGCS1;TFRC;TES;TRIB3;NAMPT;CORO1A;ERO1A;CDKN1A;RPA1;MTHFD2;NFIL3,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
33,prerank,Allograft Rejection,-0.20381573993497035,-0.6636783479224301,0.9563451776649746,1.0,1.0,22/87,29.32%,IFNG;TLR6;CCR5;DYRK3;FASLG;NCK1;CD79A;TNF;IL15;ACVR2A;CD80;IKBKB;IL18RAP;AARS1;PRF1;FAS;TLR2;STAT4;IL4R;PTPN6;CFP;TAP2,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
